iter	MultiClass
418	0.3331253751
419	0.3328827713
420	0.3325912264
421	0.3322446077
422	0.3322229177
423	0.3321608595
424	0.3319806581
425	0.3317417676
426	0.3316733139
427	0.3315090817
428	0.3313978534
429	0.3313711038
430	0.3311662471
431	0.3310984082
432	0.330960897
433	0.3308171433
434	0.3307336258
435	0.3305323812
436	0.3303249986
437	0.3300861251
438	0.3299975627
439	0.3297214584
440	0.3295525652
441	0.3293579516
442	0.3291493336
443	0.3290356164
444	0.3289885517
445	0.3288876287
446	0.3288039203
447	0.3285838878
448	0.3285437703
449	0.3280684735
450	0.3280255486
451	0.3278419095
452	0.3277783197
453	0.3276391814
454	0.327468033
455	0.3271011118
456	0.3268494775
457	0.3267774893
458	0.3267210247
459	0.3265981128
460	0.3264571668
461	0.3262831515
462	0.325998233
463	0.3259537012
464	0.3258918856
465	0.3257993769
466	0.3256878604
467	0.3255681511
468	0.3252730455
469	0.3251133992
470	0.324879814
471	0.3246890394
472	0.3245307676
473	0.3244588813
474	0.3242550908
475	0.3240928422
476	0.323978838
477	0.3238474046
478	0.323616015
479	0.3235365607
480	0.3235072791
481	0.3234456323
482	0.323374083
483	0.3232078861
484	0.3230367665
485	0.3228277551
486	0.322639619
487	0.3224034455
488	0.3222729338
489	0.3221967535
490	0.3221026494
491	0.3220202294
492	0.3218878562
493	0.3217377053
494	0.3215928919
495	0.3214344238
496	0.3212542802
497	0.3210958373
498	0.3210435257
499	0.3208371249
500	0.3207518717
501	0.3207376646
502	0.3207040867
503	0.3206230765
504	0.3204264703
505	0.3202275227
506	0.3199268291
507	0.3198912844
508	0.3197878981
509	0.3196093997
510	0.3194774233
511	0.3192084664
512	0.3191546215
513	0.3191383416
514	0.3190570508
515	0.3188680362
516	0.3186230754
517	0.3184702833
518	0.318348499
519	0.3182963564
520	0.3181707799
521	0.3178917373
522	0.3178033662
523	0.317743671
524	0.317709663
525	0.3176402589
526	0.3176074298
527	0.317583886
528	0.3174869487
529	0.3174255081
530	0.3173701017
531	0.317298445
532	0.3172596459
533	0.3172089264
534	0.3171797845
535	0.3170479288
536	0.3169956242
537	0.3169072551
538	0.3168070629
539	0.3167783171
540	0.3166958148
541	0.3165892729
542	0.3165291421
543	0.3164331845
544	0.3162514506
545	0.316193676
546	0.3158930245
547	0.3158652507
548	0.3158131018
549	0.3156627444
550	0.3155026178
551	0.3154152728
552	0.3153633249
553	0.3153071523
554	0.3151366782
555	0.3149172929
556	0.3148864922
557	0.314837646
558	0.3145994256
559	0.3145879771
560	0.3143872681
561	0.3143617838
562	0.3142256388
563	0.3140440225
564	0.3140258885
565	0.3139636682
566	0.3138857223
567	0.3138314824
568	0.3137183322
569	0.313602569
570	0.3134661607
571	0.3132198271
572	0.3130701351
573	0.3130323198
574	0.3129548806
575	0.3128170015
576	0.3126361424
577	0.3124986745
578	0.3123219568
579	0.3121436406
580	0.3120623457
581	0.3118123886
582	0.3117772722
583	0.3117512217
584	0.3116794063
585	0.3116221108
586	0.3115469615
587	0.3114117592
588	0.3112828992
589	0.3112121076
590	0.3111303019
591	0.3109374016
592	0.3107781033
593	0.3107279265
594	0.3106708613
595	0.310646617
596	0.3105365153
597	0.3104721089
598	0.3103630825
599	0.3101295958
600	0.3101058394
601	0.3100738743
602	0.3099999647
603	0.3098345023
604	0.3098112462
605	0.3097816132
606	0.3097100763
607	0.3095404849
608	0.3093807703
609	0.3092782152
610	0.3091832868
611	0.3091723012
612	0.3091162401
613	0.309047633
