mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
35.537895584106444,0.239268721183237,0.6837950229644776,0.06850864889467438,,3,8,140,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 140}",-47.02157128584898,-50.43107010558776,-53.44320096436493,-52.0966621120255,-57.51878201770123,-52.10225729710569,3.456678702099879,18
41.1455415725708,0.7276046895269036,0.7669727802276611,0.037552278758016484,,3,8,160,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 160}",-47.08033178513635,-50.37624415149932,-53.339443988728846,-51.99869244342393,-57.41056822405025,-52.04105611856774,3.402929643447508,17
50.97076315879822,0.5716249333856969,0.8922802448272705,0.014811224892366361,,3,8,200,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",-47.15427532977146,-50.36282807027599,-53.34118357422673,-51.9519937828862,-57.29287381649602,-52.020630914731285,3.3458882990300447,16
63.452564811706544,0.6863440797716629,1.194814348220825,0.06568542967488261,,3,8,250,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 250}",-47.01887658389845,-50.38162416486443,-53.27894718926974,-51.79069024273435,-57.262483109217015,-51.94652425799679,3.370153632032047,15
12.527164793014526,0.42464347868046637,0.21504426002502441,0.0017689424854764053,,4,8,50,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 50}",-48.379697066213744,-52.04905157543526,-55.262515806178556,-54.361658425297655,-59.12137653379373,-53.83485988138379,3.555584033806196,28
25.324404191970824,0.4533786259821875,0.45951042175292967,0.04201929426426619,,4,8,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100}",-47.97642800230415,-52.14592796358694,-54.71231708484151,-53.688190376973814,-58.558025355102274,-53.41617775656173,3.4466498712834786,27
29.956454372406007,0.33920394483525756,0.5460543155670166,0.035384350821861844,,4,8,120,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 120}",-47.99555308911787,-52.197479017062655,-54.59845337116298,-53.53301709777712,-58.49971431125411,-53.36484337727495,3.409075923880364,26
35.33526091575622,0.9230995937572203,0.7427351474761963,0.1563527338819516,,4,8,140,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 140}",-48.02281953631604,-52.30971350461162,-54.569258694962,-53.51680235286288,-58.37069199210532,-53.35785721617158,3.3520889569241796,25
39.18967728614807,0.9309152431038984,0.6096580982208252,0.05859805622332994,,4,8,160,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 160}",-48.115769623107006,-52.25432068276877,-54.537112530932234,-53.484121930687486,-58.30191364618773,-53.33864768273664,3.302899030904497,24
44.26274333000183,1.3033086855825171,0.6193781852722168,0.024072989072400214,,4,8,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 200}",-48.16991572972831,-52.283667423471414,-54.553410649294676,-53.36502789844729,-58.127101305491365,-53.299824601286616,3.2319303912428845,23
44.87907590866089,3.215027680283078,0.6933380603790283,0.022739515157037364,,4,8,250,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 250}",-48.09766996329243,-52.250997017994784,-54.39514248798272,-53.23580827161446,-58.16011959371543,-53.227947466919964,3.2546246278692132,22
